Provincia;Via;PKInicio;PKFin;Tramo;Tipo;Causa;Calzada;RutaAlt;Observaciones;FechaAlta;MasInfo;Column 13
Ávila;CL-505;29.74;42.0;DE NAVALPERAL DE PINARES (AV-502) A LÍMITE DE C.A. DE MADRID;Precaución;Obras;Única;;Obras en la vía;2025-10-22T10:10:43+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=226780;
Ávila;AV-501;20.0;26.0;DE AV-500A N-110;Precaución;Obras;Única;;Obras en la vía;2025-10-17T15:56:57+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=226744;
Ávila;AV-913;16.3;16.44;DE BURGOHONDO (AV-901) A SERRANILLOS;Precaución;Obras;Única;;--;2025-05-29T11:11:56+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=225041;
Ávila;AV-915;2.0;14.0;DE AV-911 A LÍMITE DE C.A. DE CASTILLA LA MANCHA;Precaución;Obras;Única;;Obras en la vía;2025-04-14T11:15:20+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=224430;
Burgos;CL-620;0.6;0.7;DE LÍMITE DE C.A. DEL PAÍS VASCO A LÍMITE DE C.A. DEL PAÍS VASCO;Precaución;Obras;Única;;Obras en la vía;2024-12-10T13:11:42+01:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=218225;
Burgos;BU-601;24.3;32.3;DE VILLADIEGO (BU-627) A BU-610;Precaución;Obras;Única;;Obras en la vía;2025-09-16T15:09:27+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=226375;
Burgos;BU-601;32.3;46.72;DE BU-610 A MELGAR DE FERNAMENTAL (N-120);Precaución;Obras;Única;;Obras en la vía;2025-09-16T15:09:27+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=226376;
Burgos;BU-627;37.4;37.9;DE SOTRESGUDO (BU-610) A LÍMITE DE PROVINCIA DE PALENCIA;Precaución;Obras;Única;;Obras en la vía;2025-10-06T09:38:18+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=226586;
León;CL-626;161.6;169.5;DE PUENTE ALMUHEY (LE-232) A LÍMITE DE PROVINCIA DE PALENCIA;Precaución;Obras;Única;;Obras en la vía;2025-08-25T10:28:20+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=226079;
León;LE-164;0.5;42.9;DE PUENTE DE DOMINGO FLÓREZ (N-536) A LA BAÑA (LE-126);Precaución;Desprendimientos;Única;;Obstáculos/objetos en la calzada;2022-12-07T15:39:17+01:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=197432;
Palencia;CL-613;37.3;37.5;DE CISNEROS (P-970) A VILLADA (P-905);Precaución;Otras;Única;;--;2025-08-14T23:42:03+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=225996;
Palencia;CL-613;39.0;39.2;DE CISNEROS (P-970) A VILLADA (P-905);Precaución;Otras;Única;;--;2025-04-11T11:01:27+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=224413;
Palencia;CL-615;0.0;1.3;DE PALENCIA A VILLALDAVÍN (P-960);Precaución;Otras;Única;;--;2025-02-14T15:46:45+01:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=222185;
Palencia;P-121;0.0;3.2;DE N-620 A VALLE DE CERRATO (P-131);Precaución;Otras;Única;;--;2025-08-05T13:50:58+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=225853;
Palencia;P-121;3.2;6.2;DE N-620 A VALLE DE CERRATO (P-131);Precaución;Obras;Única;;Obras en la vía;2024-06-06T09:58:04+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=215547;
Palencia;P-141;26.075;26.155;DE ANTIGÜEDAD A ESPINOSA DE CERRATO;Precaución;Otras;Única;;--;2024-07-30T15:44:24+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=216296;
Palencia;P-210;14.4;14.7;DE P-211 A CARDAÑO DE ABAJO (P-217);Circulación alternativa;Obras;Única;;Obras en la vía;2025-10-22T10:53:41+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=226789;
Palencia;P-227;29.3;34.4;DE LA VID DE OJEDA (P-223) A HERRERA DE PISUERGA;Precaución;Otras;Única;;--;2025-04-04T13:50:27+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=224325;
Palencia;P-231;13.54;18.2;DE CALAHORRA DE BOEDO (P-232) A HERRERA DE PISUERGA (P-230);Precaución;Otras;Única;;--;2024-12-10T19:33:45+01:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=218248;
Palencia;P-231;17.3;17.9;DE CALAHORRA DE BOEDO (P-232) A HERRERA DE PISUERGA (P-230);Cortada;Obras;Única;;Obras en la vía;2025-02-06T09:27:00+01:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=221316;
Palencia;P-232;7.75;12.02;DE N-611 A CALAHORRA DE BOEDO (P-232);Precaución;Otras;Única;;--;2024-12-10T19:30:50+01:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=218246;
Palencia;P-232;12.02;17.07;DE CALAHORRA DE BOEDO (P-232) A SOTOBAÑADO (P-230);Precaución;Otras;Única;;--;2025-08-05T14:04:12+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=225854;
Palencia;P-245;0.695;4.8;DE OSORNO (N-120) A VILLASARRACINO (P-236);Precaución;Obras;Única;;--;2024-08-09T15:09:31+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=216449;
Palencia;P-430;0.0;2.96;DE FRÓMISTA (P-431) A VALDESPINA (P-420);Precaución;Otras;Única;;--;2025-10-03T12:38:32+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=226580;
Palencia;P-430;2.96;3.8;DE FRÓMISTA (P-431) A VALDESPINA (P-420);Precaución;Obras;Única;;Obras en la vía;2025-10-03T12:39:05+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=226581;
Palencia;P-431;0.0;1.8;DE FRÓMISTA (N-611a) A P-403;Precaución;Otras;Única;;--;2024-06-04T11:21:20+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=215508;
Palencia;P-431;3.52;13.04;DE P-403 A ASTUDILLO (P-405);Precaución;Otras;Única;;--;2025-06-03T13:43:49+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=225091;
Palencia;P-953;15.3;15.5;DE BECERRIL DE CAMPOS (CL-613) A FUENTES DE NAVA (P-940);Precaución;Otras;Única;;--;2025-07-18T15:46:04+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=225682;
Palencia;P-981;0.0;9.56;DE VILLOLDO (CL-615a) A VILLALCÁZAR DE SIRGA (P-980);Precaución;Otras;Única;;--;2025-09-30T13:14:08+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=226538;
Palencia;P-981;22.625;23.389;DE VILLALCÁZAR DE SIRGA (P-980) A A-67 (SANTILLANA DE CAMPOS);Precaución;Obras;Única;;--;2024-12-06T12:05:53+01:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=217721;
Palencia;P-984;0.0;6.0;DE N-611 A SAN CEBRIÁN DE CAMPOS (P-983);Precaución;Otras;Única;;--;2024-09-30T09:59:05+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=216904;
Salamanca;SA-205;22.65;22.7;DE SA-210 A LINARES DE RIOFRÍO;Circulación alternativa;Obras;Única;;--;2025-10-14T11:45:33+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=226700;
Salamanca;SA-211;0.0;10.0;DE N-620 A VECINOS;Precaución;Otras;Única;;--;2025-10-22T10:21:17+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=226781;
Segovia;SG-205;30.3;31.5;DE CANTALEJO (CL-603) A HONTALBILLA (SG-211);Precaución;Obras;Única;;Pavimentación;2025-10-20T10:04:22+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=226745;
Segovia;SG-222;14.0;16.0;DE AGUILAFUENTE A NAVALMANZANO (A-601);Precaución;Obras;Única;;--;2025-10-22T11:11:26+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=226790;
Segovia;SG-231;0.0;9.5;DE CL-603 A SG-205;Precaución;Obras;Única;;--;2025-10-22T10:29:16+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=226784;
Soria;SO-132;2.7;2.8;DE MEDINACELI (N-IIa) A BARAHONA (CL-101);Precaución;Obras;Única;;Obras en la vía;2025-10-14T12:47:52+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=226703;
Valladolid;VA-511;0.0;7.0;DE CASTROMONTE (VA-515) A VILLABRÁGIMA (VA-505);Precaución;Otras;Única;;--;2025-10-22T10:40:26+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=226786;
